,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,is_success
6111,0.0862,"['JAY-Z', 'Beanie Sigel', 'Memphis Bleek', 'Freeway']",0.478,230707,0.9109999999999999,1,0P6MfJyIKSLd1PvzQy2w2e,0.0,1,0.29600000000000004,-4.617,1,1-900-Hustler,40,2000-10-31,0.4320000000000001,179.979,0.5870000000000001,2000,0
6112,0.9309999999999999,"['Denez Prigent', 'Lisa Gerrard']",0.12300000000000001,351880,0.136,0,00suglGfe7WNFpS1YyCTt6,0.00355,10,0.13,-13.977,0,Gortoz A Ran,52,2000-01-01,0.0412,72.363,0.037000000000000005,2000,0
6113,0.32799999999999996,"['Eric Clapton', 'B.B. King']",0.7979999999999999,219960,0.5379999999999999,0,1r6Xp7EiQQ7F63HjbFHNJn,0.00206,7,0.182,-11.412,1,Key to the Highway,49,2000-06-13,0.0363,81.018,0.677,2000,0
6114,0.32799999999999996,['Rose Royce'],0.727,200574,0.664,0,2fwhPYJviq6R9qGZs5vTFQ,2.5e-06,9,0.0434,-6.6110000000000015,0,Car Wash,40,2000-05-02,0.18100000000000002,115.171,0.785,2000,0
6115,0.0494,['*NSYNC'],0.4920000000000001,210333,0.973,0,0MxKHJEhhFOJsvYak4Q5Bu,0.0778,4,0.335,-4.618,1,Bringin' Da Noise,39,2000-03-21,0.0424,113.415,0.865,2000,0
6116,0.16,['Los Invasores De Nuevo León'],0.846,225267,0.5,0,3TSjvofuOdFlXtW2Mba0yV,0.0,5,0.0929,-10.14,1,Mi Linda Esposa,44,2000-01-01,0.0289,99.994,0.7709999999999999,2000,0
6117,0.8809999999999999,['John Prine'],0.469,297173,0.161,0,0rXCeTgjXDJOwWnPA591Tt,0.00322,9,0.133,-17.632,1,Hello in There,40,2000-10-31,0.0319,134.92700000000002,0.184,2000,0
6118,0.165,['Deep Purple'],0.4970000000000001,207467,0.787,0,7yn7rpRvg6XCq10B94etIp,0.522,9,0.17,-11.039000000000001,1,Black Night,40,2000-05-09,0.0734,134.59799999999998,0.812,2000,0
6119,0.0232,['Big Moe'],0.893,261427,0.43799999999999994,0,0iqUHPYSODJxsCfUDuPtm5,0.0,9,0.605,-10.517000000000001,1,City Of Syrup (feat. Z-Ro & Tyte Eyez),38,2000-07-25,0.134,104.45100000000001,0.423,2000,0
6120,0.65,['Nickel Creek'],0.568,319373,0.316,0,0l4s9ze0CrQfOiE8jaMs1H,0.0978,2,0.0831,-14.904000000000002,1,Out Of The Woods,39,2000,0.0328,133.989,0.249,2000,0
6121,0.17,['St Germain'],0.7659999999999999,507607,0.888,0,1XAzFYJR94m9T4AgshhO99,0.0416,5,0.27699999999999997,-7.732,0,So Flute,55,2000,0.0362,122.015,0.732,2000,0
6122,0.135,['Bob Dylan'],0.71,307533,0.9009999999999999,0,3UEWtvTL3mE797dNOv8Rzw,0.0022,2,0.218,-7.317,0,Things Have Changed - Single Version,46,2000-02-02,0.0342,126.602,0.9129999999999999,2000,0
6123,0.0113,['Mudvayne'],0.745,328733,0.956,0,099F8DBwudywg5KK6WVFox,0.0699,11,0.35600000000000004,-4.503,0,Nothing To Gein,41,2000-08-13,0.0627,112.074,0.502,2000,0
6124,0.00892,['Ween'],0.565,271133,0.753,0,42WCGd8b9J771EyHBxpxwP,0.718,7,0.145,-6.294,1,Exactly Where I'm At,40,2000-05-02,0.0346,114.006,0.8240000000000001,2000,0
6125,0.0135,['Green Day'],0.708,213240,0.6920000000000001,0,4gd9sHUPgvFpQz70Oj4bwe,3.9200000000000004e-05,1,0.0742,-4.2860000000000005,0,"Blood, Sex and Booze",45,2000-10-03,0.0341,92.631,0.42,2000,0
6126,0.74,"['Billy Bragg', 'Wilco']",0.327,386440,0.385,0,4OeQKOUwR6vMNy7WZChltZ,1.49e-05,5,0.142,-10.162,1,Remember the Mountain Bed,41,2000,0.0434,68.556,0.354,2000,0
6127,0.494,['Queens of the Stone Age'],0.369,241000,0.7390000000000001,0,2Nt0KxMdXtpwUiiiIFp2Cq,0.0639,11,0.5589999999999999,-4.607,0,Auto Pilot,41,2000-06-06,0.0395,79.008,0.41600000000000004,2000,0
6128,0.8440000000000001,['Frank Sinatra'],0.324,171533,0.191,0,7B8IvJclv9W7LcINxYSFR5,0.0,8,0.38799999999999996,-13.865,1,Young At Heart - Remastered,39,2000-01-01,0.0349,83.57700000000001,0.381,2000,0
6129,0.94,['PowerThoughts Meditation Club'],0.0608,1873000,0.0157,0,1a6Hkf3ag1J9wm6OM0lz1N,0.9359999999999999,5,0.0892,-31.916999999999998,1,432Hz Miracle Tone With 528Hz Solfeggio Frequency,45,2000,0.0469,67.88,0.0361,2000,0
6130,0.17,['Christina Aguilera'],0.905,190240,0.882,0,2PYJnUWEPPP8C6b79UiwIl,7.82e-05,8,0.0958,-3.498,1,Ven Conmigo (Solamente Tú),55,2000,0.0489,118.95,0.9620000000000001,2000,0
6131,0.727,"['Jodi Benson', 'Samuel E. Wright', 'Rob Paulsen', 'Clancy Brown', 'Kay E Kuter']",0.387,212147,0.44,0,5O3XZbXoPs3KD87OH3sO31,0.0,5,0.138,-10.937000000000001,1,Down to the Sea,43,2000-01-01,0.0872,96.06200000000001,0.5820000000000001,2000,0
6132,0.83,['Rage Against The Machine'],0.556,154573,0.22699999999999998,0,6DTSCjeK32PYp1Sap27vvY,0.00504,9,0.114,-17.461,0,Beautiful World,44,2000-12-05,0.0396,84.38799999999998,0.0348,2000,0
6133,2.45e-05,['Pantera'],0.301,319173,0.988,1,4zwzfzX5nXgD5Ro2tXIxhf,0.231,1,0.191,-2.898,1,I'll Cast a Shadow,44,2000-01-01,0.17300000000000001,127.803,0.166,2000,0
6134,0.555,['El Coyote Y Su Banda Tierra Santa'],0.6990000000000001,136760,0.434,0,4NiNF2TgroCObAR1iYX1MR,3.48e-06,7,0.248,-9.4,1,Hablando Claro,41,2000-01-01,0.0325,104.956,0.977,2000,0
6135,0.304,['Grupo Yndio'],0.52,223467,0.613,0,6nAkDgnYiBWK7cwGXdAMZ4,0.0,6,0.0778,-5.9479999999999995,1,Sin Tu Amor,43,2000-10-17,0.0246,95.49600000000001,0.589,2000,0
6136,6.579999999999999e-05,['PJ Harvey'],0.59,226667,0.685,0,04Glred2wGdSNH11Qh4EDe,3.0799999999999996e-05,0,0.165,-5.216,1,This Is Love,50,2000-01-01,0.0282,112.411,0.425,2000,0
6137,0.332,['El Coyote Y Su Banda Tierra Santa'],0.7140000000000001,209760,0.552,0,0TRM2GPcSWaZWJUr4cMDin,0.0,5,0.0702,-8.751,1,El Cachanilla,42,2000-01-01,0.0359,131.984,0.983,2000,0
6138,0.00256,['3 Doors Down'],0.46299999999999997,227973,0.91,0,4h9GuOsZdhe4w5TPMQHNWQ,0.0592,7,0.08800000000000001,-5.278,1,So I Need You,43,2000,0.0398,144.906,0.682,2000,0
6139,0.132,['Jaime Y Los Chamacos'],0.841,192187,0.8190000000000001,0,1lyouvzXgNG40YtpDaSF6d,3.72e-05,0,0.0406,-4.269,1,Como Te Llamas Paloma,39,2000-04-25,0.0368,98.831,0.9420000000000001,2000,0
6140,0.00257,['La Gusana Ciega'],0.469,224320,0.9259999999999999,0,1BaNzcWE5fAJ6Ujh1CytzN,0.00402,9,0.33,-4.492,1,Tornasol (Vuelves a Ser),58,2000-01-01,0.0461,154.349,0.56,2000,0
6141,0.406,['Jay Chou'],0.603,280493,0.292,0,1lHR2yz3Dl8U0fNJjpFuge,0.0,10,0.136,-7.622000000000001,1,黑色幽默,50,2000-11-06,0.0282,127.905,0.231,2000,0
